第二專長,Holland code,跨領域學分學程,Holland code,輔系,Holland code,雙主修,Holland code
資訊科技與人文社會,"I, R, A",創意人文學程,"A, I, S",中國文學系,,中國文學系,"A, I, S"
當代中國研究,"E, I, S",非營利組織管理學程,"E, I, S",歷史學系,,歷史學系,"S, E, I"
幸福工程,"S, A, E",東亞人文社會研究全英語學程,"S, I, E",哲學系,,哲學系,"A, I, S"
在地經營,"S, E, A",人權學程,"E, S, I",政治系,,政治系,"E, I, S"
社會創新永續,"I, A, S",財務金融學程,"C, E, I",社會學系,,社會學系,"I, S, E"
美學智能,"A, I, E",金融科技學程,"C, E, R",社會工作學系,,社會工作學系,"S, E, A"
古代經典與人文,"A, I, S",國貿管理全英語學程,"E, C, S",音樂系,"A, I, S",英文學系,"A, I, S"
台灣社會與文化研究,"I, A",財經全英語學程,"C, E, I",英文學系,,日本語文學系,"A, I, S"
影視編創,"A, S, E",,,日本語文學系,,德國文化學系,"A, I, S"
歷史敘事與創作,"A, I, E",,,德國文化學系,,數學系,"I, C"
推理,"A, I, C",,,數學系,,物理學系,"I, R, C"
領導與決策,"E, S, C",,,物理學系,,化學系,"I, R, C"
趨勢分析,"I, S, E",,,化學系,,微生物學系,"I, R"
社區發展與公共治理,"S, E, C",,,微生物學系,,心理學系,"S, I"
社會設計,"E, S, C",,,心理學系,,法律學系,"E, C, I"
音樂鑑賞與應用,"A, E, S",,,法律學系,,經濟學系,"I, C, E"
實用韓國語文,"C, I, S",,,經濟學系,,會計學系,"C, I,"
英美文化素養,"A, I, S",,,會計學系,,企業管理學系,"E, S, C"
實用翻譯養成,"C, A, S",,,企業管理學系,,國際經營與貿易學系,"E, S, C"
實用日本語文,"C, I, S",,,國際經營與貿易學系,,財務工程與精算數學系,"C, E, I"
實戰日本語文,"C, I, S",,,財務工程與精算數學系,,資訊管理學系,"C, R, I"
德語觀光與文化(觀光德語),"C, I, S",,,資訊管理學系,,資料科學學系,"I, C, R"
科技就業增能,"R, I, E",,,資料科學學系,,,
線性代數與應用,"I, C",,,,,,
馬蓋先的物理(概物理),"R, I, A",,,,,,
材料科技應用,"I, R",,,,,,
HEALTH+：現代健康生活基礎能力,"R, C, S",,,,,,
數據分析+：網路聲量與行為分析,"I, C, E",,,,,,
50+：由了解高齡到產業創新,"S, A, I",,,,,,
金融法制能力,"C, E, S",,,,,,
外交領事能力,"E, C, S",,,,,,
商務及一般行政能力,"C, E, S",,,,,,
地政法規實務能力,"C, E, S",,,,,,
不動產登記實務能力 (地產登記),"C, E, S",,,,,,
創新經營管理,"E, A, S",,,,,,
消費者行為與數據分析,"I, C, E",,,,,,
數位行銷分析,"I, C, E",,,,,,
數位經濟與企業永續,"I, E, A",,,,,,
新興投資理財,"C, E, I",,,,,,
商情時勢研析,"I, C, E",,,,,,
理財實務與租稅規劃,"C, E, I",,,,,,
貨幣金融,"C, I",,,,,,
經濟與應用,"I, C, E",,,,,,
企業財務分析與決策,"C, I, E",,,,,,
商業經營實務,"E, S, C",,,,,,
全球商務,"E, S, C",,,,,,
風險管理與精算,"C, E, I",,,,,,
商業分析,"C, R, I",,,,,,
網紅經濟與社群行銷,"I, A, S",,,,,,
跨域創新創業,"E, A, I",,,,,,
故宮文物賞析與創新應用,"A, I, S",,,,,,
實用英語,"C, I, S",,,,,,
